Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan(ton),Plastik(%),Estimasi_Timbulan_Plastik_Ton,Capaian_Timbulan_A,Capaian_Pengurangan_B,Capaian_Penanganan_C,Capaian_Terkelola_BC,Capaian_DaurUlang_D,Recycling_Rate,Estimasi_DaurUlang_Plastik_Ton,Estimasi_Plastik_Terkelola_Ton,TPS3R_SampahMasuk,TPS3R_SampahTerkelola,TPA_SampahMasuk,TPA_SampahLandfill,Penduduk
2024,Sumatera Barat,Kota Pariaman,15003.69,0.0,0.0,15003.69,0.0,1751.98,1751.98,0.0,11.68,0.0,0.0,,,11169.0,11169.0,
2024,Riau,Kab. Bengkalis,95314.82,9.47,9026.313454000001,95314.82,911.55,74514.18,75425.73,459.9,10.3,43.55253,7142.816631,173.94,148.39,65152.5,37193.99,
2024,Riau,Kab. Rokan Hulu,103202.06,0.0,0.0,103202.06,0.0,19180.3,19180.3,0.0,6.19,0.0,0.0,365.0,0.0,24060.8,24060.8,
2024,Riau,Kab. Siak,70104.67,26.0,18227.2142,70104.67,1.71,33665.87,33667.58,0.0,13.95,0.0,8753.570800000001,,,29360.6,26400.45,
2024,Riau,Kab. Kuantan Singingi,53434.39,10.0,5343.439,53434.39,2.76,33942.33,33945.09,0.0,18.13,0.0,3394.509,1613.78,1569.8899999999999,28196.25,28126.899999999998,
2024,Riau,Kota Pekanbaru,369019.82,14.19,52363.912458,369019.82,0.01,9040.32,9040.33,0.0,2.45,0.0,1282.822827,,,250247.64,250247.64,
2024,Riau,Kota Dumai,62696.6,8.95,5611.3457,62696.6,2.16,7248.9,7251.06,0.0,11.56,0.0,648.96987,,,42788.95,36217.13,
2024,Jambi,Kab. Bungo,55029.3,5.9,3246.7287000000006,,,,,,,,,10068.61,8646.57,20908.32,18225.57,
2024,Jambi,Kota Jambi,163516.42,18.99,31051.768158,163516.42,224.91,151650.29,151875.2,0.0,12.14,0.0,28841.10048,6225.08,2032.33,131257.02,129249.52,
2024,Jambi,Kota Sungai Penuh,18655.88,17.35,3236.7951800000005,18655.88,0.87,5478.27,5479.14,0.0,29.36,0.0,950.6307900000002,48.54,48.54,13140.0,13103.5,
2024,Sumatera Selatan,Kab. Ogan Komering Ulu,56552.81,15.0,8482.921499999999,56552.81,3.72,12447.12,12450.84,0.0,22.01,0.0,1867.626,,,20805.0,18797.5,
2024,Sumatera Selatan,Kab. Muara Enim,85838.07,14.22,12206.173554,85838.07,29.57,49860.26,49889.83,29.57,22.15,4.204854,7094.333826,279.23,186.15,30879.0,29831.45,
2024,Sumatera Selatan,Kab. Lahat,100498.31,14.0,14069.763400000002,100498.31,0.0,36459.89,36459.89,0.0,9.22,0.0,5104.3846,599.6999999999999,520.2,27198.76,27055.38,
2024,Sumatera Selatan,Kab. Musi Rawas,61540.61,13.13,8080.282093,61540.61,0.0,2153.09,2153.09,0.0,3.5,0.0,282.700717,1370.58,1370.58,13140.0,13030.5,
2024,Sumatera Selatan,Kab. Musi Banyuasin,103264.34,10.0,10326.434000000001,103264.34,4753.91,33324.56,38078.47,42.71,20.05,4.271,3807.847,565.75,565.75,21097.0,19162.5,
2024,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,102609.82,27.0,27704.651400000002,102609.82,68.93,48865.85,48934.78,0.0,1.79,0.0,13212.3906,,,47033.899999999994,45798.01,
2024,Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,38730.15,21.7,8404.44255,38730.15,0.0,1291.19,1291.19,0.0,3.33,0.0,280.18823000000003,19.73,19.71,13687.5,13614.5,
2024,Sumatera Selatan,Kota Pagar Alam,28021.42,31.91,8941.635122,28021.42,0.0,109.5,109.5,0.0,0.39,0.0,34.941449999999996,109.5,109.5,15260.65,15150.06,
2024,Sumatera Selatan,Kota Prabumulih,37104.08,39.72,14737.740576,37104.08,86.73,7654.12,7740.85,73.0,20.83,28.9956,3074.66562,365.0,78.48,23907.5,23779.75,
2024,Bengkulu,Kab. Bengkulu Utara,68192.66,40.0,27277.064000000002,68192.66,0.86,15491.58,15492.44,0.0,0.99,0.0,6196.976000000001,912.5,428.88,14815.35,8588.45,
2024,Bengkulu,Kab. Seluma,39238.6,2.0,784.7719999999999,39238.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,592.76,592.76,
2024,Bengkulu,Kab. Lebong,16757.3,12.84,2151.63732,16757.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4380.0,4380.0,
2024,Bengkulu,Kab. Bengkulu Tengah,22107.87,0.0,0.0,22107.87,0.0,351.5,351.5,0.0,1.59,0.0,0.0,,,,,
2024,Lampung,Kab. Lampung Utara,92728.83,0.0,0.0,92728.83,24.05,36404.03,36428.08,0.0,0.01,0.0,0.0,292.0,12.05,36390.5,27995.46,
2024,Lampung,Kab. Tulang Bawang,63301.22,5.0,3165.061,63301.22,0.0,1095.05,1095.05,0.0,1.73,0.0,54.7525,,,4336.2,3969.38,
2024,Lampung,Kab. Tanggamus,136404.5,20.86,28453.9787,136404.5,0.82,17547.66,17548.48,0.0,5.1,0.0,3660.612928,1753.34,1633.61,10585.0,10548.2,
2024,Lampung,Kab. Lampung Timur,208521.22,0.0,0.0,208521.22,432.0,80.77,512.77,0.0,0.04,0.0,0.0,,,1251.95,1109.6,
2024,Lampung,Kab. Way Kanan,71506.86,0.0,0.0,71506.86,1159.27,8093.51,9252.77,200.82,1.41,0.0,0.0,368.83,67.83,7284.82,5771.36,
2024,Lampung,Kab. Pesawaran,63131.88,17.0,10732.419600000001,63131.88,32.94,3647.23,3680.17,0.0,5.78,0.0,625.6289,,,13505.0,12702.0,
2024,Lampung,Kab. Pringsewu,63834.41,20.0,12766.882000000001,63834.41,6.72,7497.38,7504.11,0.0,11.75,0.0,1500.8220000000001,1097.53,446.62,16012.55,15888.45,
2024,Lampung,Kab. Pesisir Barat,25360.2,21.1,5351.002200000001,25360.2,0.0,21.66,21.66,0.0,0.09,0.0,4.57026,47.45,21.66,2190.0,2190.0,
2024,Lampung,Kota Bandar Lampung,281100.84,2.6,7308.621840000002,281100.84,0.0,98.37,98.37,0.0,0.03,0.0,2.5576200000000004,,,266450.0,266450.0,
2024,Kepulauan Bangka Belitung,Kab. Belitung,34947.66,36.0,12581.1576,34947.66,2.09,4779.06,4781.15,0.0,13.67,0.0,1721.2139999999997,86.0,1.26,16546.2,16343.03,
2024,Kepulauan Bangka Belitung,Kab. Bangka Selatan,31547.53,25.0,7886.8825,31547.53,47.1,21475.95,21523.05,21.9,19.55,5.475,5380.7625,401.5,217.18,15330.0,14162.0,
2024,Kepulauan Bangka Belitung,Kab. Bangka Tengah,41510.84,14.3,5936.05012,41510.84,1.28,7903.01,7904.29,0.0,19.04,0.0,1130.31347,98.55,98.55,23647.23,23634.06,
2024,Kepulauan Bangka Belitung,Kab. Bangka Barat,31306.49,17.0,5322.103300000001,31306.49,0.75,7125.9,7126.64,0.0,1.78,0.0,1211.5288,54.75,36.5,6570.0,6453.2,
2024,Kepulauan Bangka Belitung,Kab. Belitung Timur,19289.67,17.0,3279.2439,19289.67,0.0,13011.88,13011.88,0.0,11.37,0.0,2212.0196,171.23,5.71,10819.49,10349.25,
2024,Kepulauan Riau,Kab. Bintan,20858.45,13.48,2811.7190600000004,20858.45,404.05,1493.17,1897.23,309.7,8.64,41.74756,255.74660400000002,54.75,47.09,15439.5,15403.0,
2024,Kepulauan Riau,Kab. Karimun,67284.39,19.2,12918.60288,67284.39,2.34,30565.67,30568.01,0.0,11.63,0.0,5869.05792,173.38,167.9,25659.5,25185.0,
2024,Kepulauan Riau,Kab. Natuna,12266.48,0.0,0.0,12266.48,0.0,1620.75,1620.75,0.0,13.21,0.0,0.0,,,4843.55,4843.55,
2024,Kepulauan Riau,Kota Tanjung Pinang,56930.51,28.11,16003.166361000001,56930.51,12.34,46939.91,46952.25,12.34,26.09,3.4687740000000002,13198.277475,134.72,134.69,32101.75,32101.75,
2024,DKI Jakarta,Kota Adm. Jakarta Utara,509694.5,0.0,0.0,509694.5,95.03,100632.55,100727.57,95.03,19.76,0.0,0.0,3650.0,483.37,366423.51,366423.51,
2024,DKI Jakarta,Kota Adm. Jakarta Selatan,725690.82,22.95,166546.04318999997,725690.82,58.82,713952.82,714011.65,58.82,26.49,13.499189999999999,163865.673675,437.65999999999997,437.65999999999997,521774.81,521774.81,
2024,Jawa Barat,Kab. Cianjur,462637.87,14.39,66573.58949299999,462637.87,0.0,3370.23,3370.23,0.0,0.73,0.0,484.976097,2455.02,1674.69,120654.4,120654.4,
2024,Jawa Barat,Kab. Bandung,478956.72,20.0,95791.344,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.41,34952.208000000006,129162.55,99202.21,102200.0,102200.0,
2024,Jawa Barat,Kab. Bandung,478956.72,20.0,95791.344,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.41,34952.208000000006,129162.55,99202.21,390185.0,390185.0,
2024,Jawa Barat,Kab. Bandung,478956.72,20.0,95791.344,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.41,34952.208000000006,36266.96,9035.65,102200.0,102200.0,
2024,Jawa Barat,Kab. Bandung,478956.72,20.0,95791.344,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.41,34952.208000000006,36266.96,9035.65,390185.0,390185.0,
2024,Jawa Barat,Kab. Bandung,478956.72,20.0,95791.344,546151.49,520.95,119175.65,119696.6,520.95,21.92,104.19000000000001,23939.320000000003,129162.55,99202.21,102200.0,102200.0,
2024,Jawa Barat,Kab. Bandung,478956.72,20.0,95791.344,546151.49,520.95,119175.65,119696.6,520.95,21.92,104.19000000000001,23939.320000000003,129162.55,99202.21,390185.0,390185.0,
2024,Jawa Barat,Kab. Bandung,478956.72,20.0,95791.344,546151.49,520.95,119175.65,119696.6,520.95,21.92,104.19000000000001,23939.320000000003,36266.96,9035.65,102200.0,102200.0,
2024,Jawa Barat,Kab. Bandung,478956.72,20.0,95791.344,546151.49,520.95,119175.65,119696.6,520.95,21.92,104.19000000000001,23939.320000000003,36266.96,9035.65,390185.0,390185.0,
2024,Jawa Barat,Kab. Bandung,478956.72,16.7,79985.77223999999,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.01235,29185.093679999998,129162.55,99202.21,102200.0,102200.0,
2024,Jawa Barat,Kab. Bandung,478956.72,16.7,79985.77223999999,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.01235,29185.093679999998,129162.55,99202.21,390185.0,390185.0,
2024,Jawa Barat,Kab. Bandung,478956.72,16.7,79985.77223999999,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.01235,29185.093679999998,36266.96,9035.65,102200.0,102200.0,
2024,Jawa Barat,Kab. Bandung,478956.72,16.7,79985.77223999999,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.01235,29185.093679999998,36266.96,9035.65,390185.0,390185.0,
2024,Jawa Barat,Kab. Bandung,478956.72,16.7,79985.77223999999,546151.49,520.95,119175.65,119696.6,520.95,21.92,86.99865,19989.332199999997,129162.55,99202.21,102200.0,102200.0,
2024,Jawa Barat,Kab. Bandung,478956.72,16.7,79985.77223999999,546151.49,520.95,119175.65,119696.6,520.95,21.92,86.99865,19989.332199999997,129162.55,99202.21,390185.0,390185.0,
2024,Jawa Barat,Kab. Bandung,478956.72,16.7,79985.77223999999,546151.49,520.95,119175.65,119696.6,520.95,21.92,86.99865,19989.332199999997,36266.96,9035.65,102200.0,102200.0,
2024,Jawa Barat,Kab. Bandung,478956.72,16.7,79985.77223999999,546151.49,520.95,119175.65,119696.6,520.95,21.92,86.99865,19989.332199999997,36266.96,9035.65,390185.0,390185.0,
2024,Jawa Barat,Kab. Garut,418262.61,20.5,85743.83505,418262.61,58.58,55933.38,55991.96,0.0,13.37,0.0,11478.351799999999,7399.65,7399.5,89060.0,89060.0,
2024,Jawa Barat,Kab. Ciamis,182871.42,20.0,36574.28400000001,182871.42,1661.04,146072.98,147734.02,0.0,57.6,0.0,29546.804,2476.91,2338.58,40734.0,40204.75,
2024,Jawa Barat,Kab. Kuningan,179838.71,16.0,28774.1936,179838.71,1952.28,17410.34,19362.62,0.0,9.48,0.0,3098.0191999999997,16524.96,15999.84,94900.0,78475.0,
2024,Jawa Barat,Kab. Majalengka,342527.64,14.0,47953.869600000005,342527.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,47085.0,47085.0,
